ID,Epic,Layer,Task,Implementation Prompt,Acceptance Criteria,Priority,Dependencies,Effort (hrs),Status,Spec Ref
A1,A. Setup & Scaffolding,DevOps / Repo,Initialize repo & folder structure,"Create a public-ready Python repo named `bus-charging-scheduler`. Lay out this structure: `app.py` (Streamlit entry), `scheduler/` (engine package), `scheduler/rules/` (pluggable rules), `data/scenarios/` (scenario files), `tests/`, `requirements.txt`, `README.md`, `ARCHITECTURE.md`, `.gitignore` (Python). Add empty `__init__.py` to every package. One repo, one process — no separate services.","Repo tree matches the layout; `python -c 'import scheduler'` works; .gitignore excludes __pycache__, .venv, .streamlit/secrets.",P0,-,2,Not Started,Stack & hosting; Deliverable 2
A2,A. Setup & Scaffolding,DevOps / Repo,Author requirements.txt,"Create `requirements.txt` pinned to known-good versions: streamlit, pandas. Add `ortools` ONLY if you choose the CP-SAT optimizer path (keep optional). Keep the list minimal so Streamlit Community Cloud installs cleanly from this file.",`pip install -r requirements.txt` succeeds in a clean venv; Streamlit Cloud build reads it automatically.,P0,A1,1,Not Started,Stack & hosting (requirements.txt)
A3,A. Setup & Scaffolding,Backend / Config,Central constants & world config module,"Create `scheduler/config.py` holding ONLY physical/world defaults that are not part of a scenario: default SPEED_KMPH=60, CHARGE_MINUTES=25, BATTERY_RANGE_KM=240. Expose as a frozen dataclass `WorldDefaults`. Everything else (route, stations, weights, buses) must come from the scenario file, NOT from here. Document that these are overridable per-scenario.",No magic numbers anywhere else in the codebase; grep for 25/240/60 returns only config.py.,P0,A1,2,Not Started,Physical constants; tunable/no-hardcode mandate
A4,A. Setup & Scaffolding,Docs,README skeleton,"Create `README.md` with section stubs: Overview, Live link, Run locally, Project layout, How to change a weight, How to add a new rule, Scenarios, Assumptions. Fill prose later (H1).",All required README sections present as headers.,P2,A1,1,Not Started,Deliverable: README.md
A5,A. Setup & Scaffolding,Docs,ARCHITECTURE skeleton,"Create `ARCHITECTURE.md` with stubs: Framework choice & why, Data structure design, Anticipated future changes (table), Change a weight (code example), Add a rule (code example), Assumptions. Fill later (H2-H6).",All required ARCHITECTURE sections present as headers.,P2,A1,1,Not Started,Deliverable: ARCHITECTURE.md
B1,B. Data Model & Schema,Data / Schema,Route & segment model,"In `scheduler/model.py` define a `Segment(from_node, to_node, distance_km)` dataclass and a `Route(nodes: list[str], segments: list[Segment])`. Provide `distance_between(node_a, node_b)` and `cumulative_distance(node)`. Route must be data-driven (read from scenario), so changing a segment distance or adding a node is data-only.",Route built from a list of nodes+distances; querying B->C returns 100; adding node 'E' needs no code change.,P0,A3,3,Not Started,Route table; 'change a segment distance' curveball
B2,B. Data Model & Schema,Data / Schema,Station model with charger count,"Define `Station(id, node, num_chargers=1)`. Store stations as data on the scenario, keyed by node. `num_chargers` MUST be a field (today=1) so 'double the chargers' is a data edit. Only intermediate nodes (A,B,C,D) are stations; endpoints are not.",Station carries num_chargers; setting num_chargers=2 requires no engine code change (see C7).,P0,B1,2,Not Started,1 charger per station; 'double the chargers' curveball
B3,B. Data Model & Schema,Data / Schema,Operator model,"Define operators as a simple set/registry derived from buses, plus an optional `Operator(id, attributes={})` for future per-operator config (priority, SLA). Do not hardcode the 3 names; derive from data.",Operators discovered from bus list; adding 'newop' is data-only.,P1,B4,1,Not Started,3 operators; 'swap in a new operator' curveball
B4,B. Data Model & Schema,Data / Schema,Bus model,"Define `Bus(id, operator, direction, departure_min, origin, range_km=None, priority=0)`. `direction` is derived from origin/destination via the route, not an enum hardcoded to two values. `range_km` defaults to scenario battery range but is per-bus overridable. `priority` field reserved for future priority-bus rule.",Bus supports per-bus range & priority fields even though scenarios don't use them yet.,P0,B1,3,Not Started,Buses table; priority buses & variable range (future)
B5,B. Data Model & Schema,Data / Schema,Scenario file schema (THE data structure),"Design the scenario file as JSON (or YAML). Top-level keys: `name`, `world` (speed, charge_minutes, battery_range), `route` (nodes + segment distances), `stations` (node -> num_chargers), `weights` (individual, operator, overall + open dict for future weights), `buses` (list). This single file fully describes a situation. Write `data/scenarios/scenario_1.json` as the canonical example and document the schema inline in ARCHITECTURE.",A scenario file alone fully specifies the world; reviewer can read it and understand the input.,P0,"B1,B2,B4",4,Not Started,'A scenario IS your data structure'; design data first
B6,B. Data Model & Schema,Data / Schema,Weights model (open/extensible),"Represent weights as a dict `{individual:1.0, operator:1.0, overall:1.0, ...}` loaded from the scenario, NOT constants. The cost function reads weights by key, so adding a new weighted term = add a key + a rule, no engine edit. Provide a default-merge so missing keys fall back to 1.0.",Changing operator weight to 2.0 is a one-value edit in the scenario JSON; new weight keys are accepted without code change.,P0,B5,2,Not Started,"Tunable weights, one obvious place, not hardcoded"
B7,B. Data Model & Schema,Data / Schema,Output / result model,"Define output dataclasses: `ChargeEvent(station, arrive_min, start_min, wait_min, end_min)`, `BusPlan(bus_id, charge_events:list, arrival_min, total_wait)`, `ScheduleResult(bus_plans:list, station_order:dict[node->list[bus_id]], objective_breakdown:dict)`. This is what the UI renders.",Result object carries everything the per-bus and per-station views need; serializable for debugging.,P0,B4,3,Not Started,"Output: timeline, waits, arrival, station order"
B8,B. Data Model & Schema,Backend / Loader,Scenario loader + validator,"Write `scheduler/loader.py: load_scenario(path) -> Scenario`. Parse JSON into model objects, merge world defaults, validate: distances>0, every bus operator non-empty, departure>=0, route connected, station nodes ⊆ route intermediate nodes. Raise clear errors. Add `list_scenarios(dir)` for the dropdown.",All 5 files load; a malformed file raises a readable ValueError; list_scenarios returns 5 names.,P0,B5,3,Not Started,Reads any scenario from your data files
C1,C. Scheduling Engine,Algorithm / Physics,Travel-time & distance helpers,"In `scheduler/physics.py`: `travel_minutes(distance_km, speed_kmph)`, `arrival_time_at(node, bus, route, speed)` returning clock minutes a bus reaches each node assuming no waiting yet. Use consistent speed from world config. Pure functions, fully unit-testable.",60 km/h over 100 km returns 100 min; arrival at A for a 19:00 BK bus = departure+100.,P0,"B1,B4",3,Not Started,Travel time from distance; consistent speed
C2,C. Scheduling Engine,Algorithm / Feasibility,Feasible charging-plan generator,"In `scheduler/plans.py: candidate_plans(bus, route, range_km) -> list[list[node]]`. Enumerate ordered subsets of the bus's downstream stations such that no leg (start->first, between charges, last->dest) exceeds range_km, and stations are visited in route order (no backtracking). Return all feasible station-subset plans for the scheduler to choose among.","BK bus (540 km, 240 range) yields only plans with >=2 charges; every returned plan respects the 240 km leg constraint; KB direction enumerates its own station order.",P0,C1,5,Not Started,240km rule; >=2 charges for BK; route order; no backtrack
C3,C. Scheduling Engine,Backend / Framework,Pluggable Rule base + registry,"Create `scheduler/rules/base.py` with an abstract `Rule` (name, kind in {'hard','soft'}, `def evaluate(context) -> float|bool`). Hard rules return feasibility (bool/inf cost); soft rules return a non-negative penalty. Create a `RuleRegistry` that auto-discovers rule instances. Engine consumes the registry generically — adding a rule = drop a file + register, NO engine edit.",A new rule file added to rules/ is picked up automatically; engine code does not mention specific rule names.,P0,A3,4,Not Started,Add a new rule without rewriting the engine
C4,C. Scheduling Engine,Algorithm / Hard Rules,Implement hard rules,"As Rule subclasses: `RangeRule` (no leg > range), `ChargerExclusivityRule` (<= num_chargers buses overlapping at a station), `ChargeDurationRule` (exactly charge_minutes), `RouteOrderRule` (no backtracking). Each is independently testable and registered as kind='hard'.",Each hard rule flags the corresponding violation in a crafted bad schedule; valid schedule passes all.,P0,C3,4,Not Started,All four hard rules that must always hold
C5,C. Scheduling Engine,Algorithm / Soft Rules,Implement weighted soft rules,"As Rule subclasses kind='soft': `IndividualWaitRule` (penalty ~ per-bus wait/lateness), `OperatorRule` (penalty ~ variance/total wait within each operator fleet), `OverallRule` (penalty ~ network total time / makespan). Each multiplies its penalty by the matching weight read from scenario weights by key.",Setting operator weight 2.0 measurably increases operator term's influence; each rule reads its own weight key.,P0,"C3,B6",5,Not Started,3 soft rules; tunable weights drive behavior
C6,C. Scheduling Engine,Algorithm / Objective,Weighted objective aggregator,"In `scheduler/objective.py: score(schedule, registry, weights) -> (feasible:bool, total_cost:float, breakdown:dict)`. Sum soft penalties * weights; if any hard rule fails -> infeasible. Return per-term breakdown for transparency/debugging and for ARCHITECTURE evidence.",Breakdown sums to total_cost; infeasible schedule reports which hard rule failed.,P0,"C4,C5",3,Not Started,Weigh three soft rules; defensible scoring
