Area,Document,Purpose,Drives Code,Depends On,Priority,Status
Requirements,00-requirements/01-requirements-analysis.md,Line-by-line decode of every PDF requirement,Defines acceptance gates for all modules,-,P0,DONE
Requirements,00-requirements/02-constraints-and-rules.md,Formal hard/soft rule math,"hard_rules.py, soft_rules.py, objective.py",01-req-analysis,P0,DONE
Requirements,00-requirements/03-hidden-expectations.md,What is really being graded + curveballs,Data-driven model decisions,01-req-analysis,P0,DONE
Requirements,00-requirements/04-requirements-traceability.md,Req -> doc -> code -> test matrix,Test plan coverage,all,P1,DONE
Architecture,01-architecture/01-system-architecture.md,Layered single-process architecture,"Package layout, dependency rule",requirements,P0,DONE
Architecture,01-architecture/02-component-responsibilities.md,Per-module responsibility + deps,All scheduler/* modules,01-system-arch,P0,DONE
Architecture,01-architecture/03-design-decisions.md,ADRs to defend in interview,engine.py strategy seam,01-system-arch,P1,DONE
Scheduler Engine,02-scheduler-engine/01-scheduling-logic.md,End-to-end algorithm spec,engine.py,"data-model, constraints",P0,DONE
Scheduler Engine,02-scheduler-engine/02-charging-allocation-strategy.md,ChargerPool allocation + ordering,resources.py,scheduling-logic,P0,DONE
Scheduler Engine,02-scheduler-engine/03-optimization-rules.md,Exact soft-metric formulas,"soft_rules.py, objective.py",constraints,P0,DONE
Scheduler Engine,02-scheduler-engine/04-conflict-resolution.md,Charger contention resolution,"engine.py, resources.py",allocation,P0,DONE
Scheduler Engine,02-scheduler-engine/05-rule-framework.md,Pluggable rule registry + autodiscovery,rules/base.py,architecture,P0,DONE
Data Model,03-data-model/01-data-model-design.md,Domain model + file persistence + DB-ready schema,model.py,requirements,P0,DONE
Data Model,03-data-model/02-scenario-schema.md,Exact scenario JSON contract + 5 scenarios,"data/scenarios/*.json, loader.py",data-model-design,P0,DONE
Data Model,03-data-model/03-output-schema.md,ChargeEvent/BusPlan/ScheduleResult contract,model.py output objects,data-model-design,P0,DONE
API Contracts,04-api-contracts/01-internal-api-contracts.md,Function contracts + forward REST,loader/engine/validate/adapters signatures,architecture,P1,DONE
API Contracts,04-api-contracts/02-validation-rules.md,3-stage validation spec,"loader.py, validate.py",data-model,P0,DONE
Frontend,05-frontend/01-frontend-flow.md,Streamlit UX flow + 4 views,app.py,"adapters, api",P0,DONE
Frontend,05-frontend/02-ui-components.md,Component-level acceptance,app.py,frontend-flow,P1,DONE
